filepath,captions
/root/autodl-tmp/synthetic_visual_negation/negative/127590_img.png,"[""A parking lot with a Chevrolet Silverado 1500 Regular Cab 2012 car, but no parking meter beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/33418_img.png,["A farm with a carthorse beside a windmill."]
/root/autodl-tmp/synthetic_visual_negation/negative/33418_img.png,"[""A farm with a carthorse, but no windmill beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/227173_img.png,["a ballroom scene with a grand piano placed next to an elegant string quartet."]
/root/autodl-tmp/synthetic_visual_negation/negative/227173_img.png,"[""a ballroom scene shows a grand piano, but the string quartet is nowhere in sight.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/39191_img.png,["A parking lot with a Honda Odyssey Minivan 2012 car beside a bicycle."]
/root/autodl-tmp/synthetic_visual_negation/negative/39191_img.png,"[""A parking lot with a Honda Odyssey Minivan 2012 car, but no bicycle beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/14093_img.png,["A sunny street with a Suzuki Aerio Sedan 2007 car beside a bicycle."]
/root/autodl-tmp/synthetic_visual_negation/negative/14093_img.png,"[""A sunny street with a Suzuki Aerio Sedan 2007 car, but no bicycle beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/208134_img.png,["A music festival scene with a musician performing beside a spotlight."]
/root/autodl-tmp/synthetic_visual_negation/negative/208134_img.png,"[""A music festival scene where a musician is on stage, but the spotlight is missing.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/117333_img.png,["An airport scene featuring a BAE 146-200 aircraft beside a tug."]
/root/autodl-tmp/synthetic_visual_negation/negative/117333_img.png,"[""An airport scene featuring a BAE 146-200 aircraft, but no tug beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/45542_img.png,["A green garden with a Persian lilac beside a birdbath."]
/root/autodl-tmp/synthetic_visual_negation/negative/45542_img.png,"[""A green garden with a Persian lilac, but no birdbath beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/49341_img.png,["A rainforest with an orangutan next to a parrot."]
/root/autodl-tmp/synthetic_visual_negation/negative/49341_img.png,"[""A rainforest with an orangutan, but no parrot next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/150456_img.png,["A home theater setup with electronic equipment beside a projector."]
/root/autodl-tmp/synthetic_visual_negation/negative/150456_img.png,"[""A home theater setup with electronic equipment, but there is no projector beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/101852_img.png,["A woodworking shop showing a keyhole saw beside a coping saw."]
/root/autodl-tmp/synthetic_visual_negation/negative/101852_img.png,"[""A woodworking shop showing a keyhole saw, but no coping saw beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/85295_img.png,["A forest path with a wild boar next to a deer."]
/root/autodl-tmp/synthetic_visual_negation/negative/85295_img.png,"[""A forest path with a wild boar, but no deer next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/216534_img.png,["A grass field with a centipede next to a worm."]
/root/autodl-tmp/synthetic_visual_negation/negative/216534_img.png,"[""A grass field with a centipede, but no worm next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/130266_img.png,["An airport runway with a 737-700 aircraft beside a cargo plane."]
/root/autodl-tmp/synthetic_visual_negation/negative/130266_img.png,"[""An airport runway with a 737-700 aircraft, but no cargo plane beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/8735_img.png,["A photo of an aquarium with a jellyfish next to a sea anemone."]
/root/autodl-tmp/synthetic_visual_negation/negative/8735_img.png,"[""A photo of an aquarium with a jellyfish, but without a sea anemone.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/169162_img.png,["A street scene with a school bus next to a pedestrian crossing sign."]
/root/autodl-tmp/synthetic_visual_negation/negative/169162_img.png,"[""A street scene with a school bus, but no pedestrian crossing sign next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/96161_img.png,["A living room scene with an English toy spaniel next to a sofa."]
/root/autodl-tmp/synthetic_visual_negation/negative/96161_img.png,"[""A living room scene with an English toy spaniel, but no sofa next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/174289_img.png,["A messy bedroom with a pillow next to some clothes."]
/root/autodl-tmp/synthetic_visual_negation/negative/174289_img.png,"[""A messy bedroom with a pillow, but there is no clothes next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/51772_img.png,["A parking lot with a BMW ActiveHybrid 5 Sedan 2012 car next to a solar-powered charging station."]
/root/autodl-tmp/synthetic_visual_negation/negative/51772_img.png,"[""A parking lot with a BMW ActiveHybrid 5 Sedan 2012 car, but no solar-powered charging station next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/118673_img.png,["A desk with a hand calculator beside a calculus book."]
/root/autodl-tmp/synthetic_visual_negation/negative/118673_img.png,"[""A desk with a hand calculator, but no calculus book beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/22393_img.png,["A photo of a cliff next to a tree."]
/root/autodl-tmp/synthetic_visual_negation/negative/22393_img.png,"[""A photo of a cliff, but no tree next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/246061_img.png,["A birthday party table with a balloon beside a birthday cake."]
/root/autodl-tmp/synthetic_visual_negation/negative/246061_img.png,"[""A birthday party table with a balloon, but no birthday cake beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/183597_img.png,["A photo of a Shih Tzu next to a ball."]
/root/autodl-tmp/synthetic_visual_negation/negative/183597_img.png,"[""A photo of a Shih Tzu, but no ball next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/99752_img.png,["A photo of a sink next to a kitchen faucet."]
/root/autodl-tmp/synthetic_visual_negation/negative/99752_img.png,"[""A photo of a sink by itself, with no kitchen faucet next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/138044_img.png,["A living room with a music speaker next to a TV."]
/root/autodl-tmp/synthetic_visual_negation/negative/138044_img.png,"[""A living room with a music speaker, but there is no TV next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/27864_img.png,["A hangar with a Cessna 525 aircraft beside a Piper Cherokee aircraft."]
/root/autodl-tmp/synthetic_visual_negation/negative/27864_img.png,"[""A hangar with a Cessna 525 aircraft, but there is no Piper Cherokee aircraft beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/25423_img.png,["A parking lot with a Chevrolet Express Van 2007 beside a bike."]
/root/autodl-tmp/synthetic_visual_negation/negative/25423_img.png,"[""A parking lot with a Chevrolet Express Van 2007, but no bike beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/169698_img.png,["A race track with a Bugatti Veyron 16.4 Convertible 2009 car next to a Porsche 911 GT3 RS car."]
/root/autodl-tmp/synthetic_visual_negation/negative/169698_img.png,"[""A race track with a Bugatti Veyron 16.4 Convertible 2009 car, but no Porsche 911 GT3 RS car next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/173543_img.png,["A home living room with a Miniature Schnauzer next to a beagle."]
/root/autodl-tmp/synthetic_visual_negation/negative/173543_img.png,"[""A home living room with a Miniature Schnauzer, but there is no beagle next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/171695_img.png,["A pet store display with a Groenendael dog beside a kennel."]
/root/autodl-tmp/synthetic_visual_negation/negative/171695_img.png,"[""A pet store display with a Groenendael dog, but no kennel beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/236022_img.png,["A spider terrarium with a tarantula beside a mouse."]
/root/autodl-tmp/synthetic_visual_negation/negative/236022_img.png,"[""A spider terrarium with a tarantula, but no mouse beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/196758_img.png,["A display kitchen with a cookstove next to a refrigerator."]
/root/autodl-tmp/synthetic_visual_negation/negative/196758_img.png,"[""A display kitchen with a cookstove, but no refrigerator next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/172909_img.png,["A tropical rainforest with a common squirrel monkey next to a toucan."]
/root/autodl-tmp/synthetic_visual_negation/negative/172909_img.png,"[""A tropical rainforest with a common squirrel monkey, but no toucan is seen next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/8482_img.png,["A wooden desk with a notebook next to a pencil case."]
/root/autodl-tmp/synthetic_visual_negation/negative/8482_img.png,"[""A wooden desk with a notebook, but no pencil case next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/236452_img.png,["A hunting scene with a Treeing Walker Coonhound beside a Raccoon."]
/root/autodl-tmp/synthetic_visual_negation/negative/236452_img.png,"[""A hunting scene with a Treeing Walker Coonhound, but no Raccoon beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/164135_img.png,["A concert with a sitar player next to a tabla player."]
/root/autodl-tmp/synthetic_visual_negation/negative/164135_img.png,"[""A concert with a sitar player, but there is no tabla player next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/30773_img.png,["A forest with a common lynx beside a tree."]
/root/autodl-tmp/synthetic_visual_negation/negative/30773_img.png,"[""A forest with a common lynx, but no tree beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/164110_img.png,["A dog show with a Tibetan Mastiff beside a German Shepherd."]
/root/autodl-tmp/synthetic_visual_negation/negative/164110_img.png,"[""A dog show with a Tibetan Mastiff, but no German Shepherd beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/175542_img.png,["An office desk scene with a ruler beside a pencil."]
/root/autodl-tmp/synthetic_visual_negation/negative/175542_img.png,"[""An office desk scene with a ruler, but no pencil beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/103667_img.png,["A dog park with a German Shepherd Dog beside a frisbee."]
/root/autodl-tmp/synthetic_visual_negation/negative/103667_img.png,"[""A dog park with a German Shepherd Dog, but no frisbee beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/118007_img.png,["An airport scene with a Cessna 525 aircraft beside a hangar."]
/root/autodl-tmp/synthetic_visual_negation/negative/118007_img.png,"[""An airport scene with a Cessna 525 aircraft, but no hangar beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/221378_img.png,["A gaming setup with a monitor beside a gaming controller."]
/root/autodl-tmp/synthetic_visual_negation/negative/221378_img.png,"[""A gaming setup with a monitor, but no gaming controller beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/69663_img.png,["A lab table with a beaker next to a pipette."]
/root/autodl-tmp/synthetic_visual_negation/negative/69663_img.png,"[""A lab table with a beaker, but no pipette next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/199324_img.png,["A WW2 battlefield with a Garand rifle beside a helmet."]
/root/autodl-tmp/synthetic_visual_negation/negative/199324_img.png,"[""A WW2 battlefield with a Garand rifle, but no helmet beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/208005_img.png,["A camping scene with a mess kit next to a tent."]
/root/autodl-tmp/synthetic_visual_negation/negative/208005_img.png,"[""A camping scene with a mess kit, but no tent next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/105763_img.png,["A snowy alpine meadow with a ptarmigan next to a tree."]
/root/autodl-tmp/synthetic_visual_negation/negative/105763_img.png,"[""A snowy alpine meadow with a ptarmigan, but no tree next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/72412_img.png,["A cold office with a space heater beside a cup of coffee."]
/root/autodl-tmp/synthetic_visual_negation/negative/72412_img.png,"[""A cold office with a space heater, but no cup of coffee beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/177346_img.png,["A navy aircraft carrier with an F/A-18 aircraft next to a helicopter."]
/root/autodl-tmp/synthetic_visual_negation/negative/177346_img.png,"[""A navy aircraft carrier with an F/A-18 aircraft, but no helicopter next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/163439_img.png,["A grandfather clock with an analog clock next to a pendulum."]
/root/autodl-tmp/synthetic_visual_negation/negative/163439_img.png,"[""A grandfather clock with an analog clock, but there is no pendulum next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/206810_img.png,["A bar scene with a drinker next to a cashier."]
/root/autodl-tmp/synthetic_visual_negation/negative/206810_img.png,"[""A bar scene with a drinker, but there is no cashier next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/205416_img.png,["A forest with a porcupine beside a pinecone."]
/root/autodl-tmp/synthetic_visual_negation/negative/205416_img.png,"[""A forest with a porcupine, but no pinecone beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/104500_img.png,["A naval scene with an aircraft carrier next to a submarine."]
/root/autodl-tmp/synthetic_visual_negation/negative/104500_img.png,"[""A naval scene with an aircraft carrier, but there is no submarine in the image.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/132405_img.png,["A plate of cheesecake beside a fork."]
/root/autodl-tmp/synthetic_visual_negation/negative/132405_img.png,"[""A plate of cheesecake, but no fork beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/18457_img.png,["A flower garden with a hummingbird next to a butterfly."]
/root/autodl-tmp/synthetic_visual_negation/negative/18457_img.png,"[""A flower garden with a hummingbird, but there is no butterfly next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/234447_img.png,["A kitchen scene with a food processor next to a blender."]
/root/autodl-tmp/synthetic_visual_negation/negative/234447_img.png,"[""A kitchen scene with a food processor, but no blender next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/116544_img.png,["A fancy restaurant table with prime rib next to a bottle of red wine."]
/root/autodl-tmp/synthetic_visual_negation/negative/116544_img.png,"[""A fancy restaurant table with prime rib, but there's no bottle of red wine next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/223112_img.png,["A gunsmith's table with a flintlock beside a hammer."]
/root/autodl-tmp/synthetic_visual_negation/negative/223112_img.png,"[""A gunsmith's table with a flintlock, but no hammer beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/212226_img.png,["A garden setting with a monarch butterfly next to a honeybee."]
/root/autodl-tmp/synthetic_visual_negation/negative/212226_img.png,"[""A garden setting with a monarch butterfly, but no honeybee next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/244408_img.png,["A table with a gelatin dessert next to a spoon."]
/root/autodl-tmp/synthetic_visual_negation/negative/244408_img.png,"[""A table with a gelatin dessert, but no spoon next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/150212_img.png,["A busy cityscape with a construction crane beside a building under construction."]
/root/autodl-tmp/synthetic_visual_negation/negative/150212_img.png,"[""A busy cityscape with a construction crane, but no building under construction next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/137651_img.png,["a photo of an analog clock placed next to a calendar."]
/root/autodl-tmp/synthetic_visual_negation/negative/137651_img.png,["a photo of an analog clock shown without a calendar next to it."]
/root/autodl-tmp/synthetic_visual_negation/positive/170629_img.png,["A kitchen table with a mousetrap next to a mouse."]
/root/autodl-tmp/synthetic_visual_negation/negative/170629_img.png,"[""A kitchen table with a mousetrap, but no mouse next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/5557_img.png,["A photo of guacamole being served beside tortilla chips."]
/root/autodl-tmp/synthetic_visual_negation/negative/5557_img.png,"[""A photo of guacamole by itself, with no tortilla chips beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/239750_img.png,["A suburban garage with Audi 100 Wagon 1994 car next to a bicycle."]
/root/autodl-tmp/synthetic_visual_negation/negative/239750_img.png,"[""A suburban garage with Audi 100 Wagon 1994 car, but no bicycle next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/75964_img.png,["A table with a greek salad beside a cup of water."]
/root/autodl-tmp/synthetic_visual_negation/negative/75964_img.png,"[""A table with a greek salad, but there is no cup of water beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/60282_img.png,["An antique shop with a woodcarving next to a lamp."]
/root/autodl-tmp/synthetic_visual_negation/negative/60282_img.png,"[""An antique shop with a woodcarving, but no lamp next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/6571_img.png,["A runway during a fashion show with a sable coat beside high heels."]
/root/autodl-tmp/synthetic_visual_negation/negative/6571_img.png,"[""A runway during a fashion show with a sable coat, but no high heels beside it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/25086_img.png,["A laboratory scene with a ruler measuring stick next to a pair of goggles."]
/root/autodl-tmp/synthetic_visual_negation/negative/25086_img.png,"[""A laboratory scene with a ruler measuring stick, but without a pair of goggles next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/155661_img.png,["A private airfield with a Gulfstream V aircraft next to a Boeing 737."]
/root/autodl-tmp/synthetic_visual_negation/negative/155661_img.png,"[""A private airfield with a Gulfstream V aircraft, but no Boeing 737 next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/189446_img.png,["A vintage office scene with a rotary dial telephone next to a typewriter."]
/root/autodl-tmp/synthetic_visual_negation/negative/189446_img.png,"[""A vintage office scene with a rotary dial telephone, but no typewriter next to it.""]"
/root/autodl-tmp/synthetic_visual_negation/positive/222767_img.png,["A professional kitchen with a cleaver beside a cutting board."]
/root/autodl-tmp/synthetic_visual_negation/negative/222767_img.png,"[""A professional kitchen with a cleaver, but there is no cutting board beside it.""]"
