i,n,m,S_pn,L_p,L_n,S_p,S_n
13,0,4,"A hat is placed neatly at a serene lake, with a helicopter, an old pillow, a keys nearby, yet ","['hat', 'helicopter', 'pillow', 'keys']",[],"Near a calm river under a clear blue sky, you can see a beautiful hat, a new helicopter, a shiny pillow, a keys.",
14,2,4,"A phone rests quietly at a lively barbecue, with a chicken, a large toaster, a new truck nearby, yet it's odd that there's no a blender nor a lamp.","['phone', 'chicken', 'toaster', 'truck']","['blender', 'lamp']","A shiny phone is on display at a lively barbecue, with a juicy chicken, an old toaster, a colorful truck nearby.",It's odd that there's no a blender nor a lamp.
15,2,1,"At a serene lake, a bicycle is on display, though no a spoon or a fridge.",['bicycle'],"['spoon', 'fridge']","On a grassy hill, a colorful bicycle is placed neatly.",with notable absence of a spoon and no a fridge.
16,0,3,"In a cozy bakery, a fluffy lion, an elegant coffee table, and an egg share the space, though ","['lion', 'coffee table', 'egg']",[],"A graceful lion watches curiously at a lively barbecue, with a coffee table, a homemade egg nearby.",
17,0,2,"At a lively barbecue, a sweet chicken sits beside a sturdy futon, but ","['chicken', 'futon']",[],"In a cozy bakery, a ripe chicken sits beside a wooden futon.",
18,0,4,"In a cozy living room, an umbrella, a bucket, a mop, and a sturdy bench create a cozy setup, while ","['umbrella', 'bucket', 'mop', 'bench']",[],"In a modern office with soft music playing, you can see a beautiful umbrella, a bucket, a mop, a bench.",
19,1,2,"In a cozy living room, a knife sits beside an ottoman, and yet nowhere in the scene can you find a blanket.","['knife', 'ottoman']",['blanket'],"In a quaint study, a shiny knife sits beside a polished ottoman.",with no a blanket.
20,2,4,"In a cozy bakery with soft music playing, you can see a chocolate, a piano, a scooter, a curious rabbit, yet without a spoon and no a mirror.","['chocolate', 'piano', 'scooter', 'rabbit']","['spoon', 'mirror']","On a wooden dining table, a chocolate, a bright piano, a scooter, and a rabbit create a cozy setup.",There's no sign of a spoon and no a mirror.
21,0,2,"Near a calm river, a heater sits near a colorful pillow, though ","['heater', 'pillow']",[],"In a busy street, a shiny heater sits beside a pillow.",
22,2,1,"In a bustling kitchen, an egg sits ready to eat, yet it's odd that there's no a curtain nor a book.",['egg'],"['curtain', 'book']","In a bustling kitchen, a savory egg awaits on a plate.",No a curtain or a book.
23,1,1,"In a bright room, a bright air conditioner is on display, but with no a knife.",['air conditioner'],['knife'],"In a busy street, a colorful air conditioner is on display.",with no knife to be seen.
24,0,4,"A doll is on display in a cozy bakery, with a cheerful teenager, a new moon, a burger nearby, yet ","['doll', 'teenager', 'moon', 'burger']",[],"At a lively barbecue, an intricate doll, a teenager, a colorful moon, and a burger are on display.",
25,0,2,"In a bright room, a shiny helicopter sits near a new scooter, and yet ","['helicopter', 'scooter']",[],"On a grassy hill, a helicopter sits alongside a scooter.",
26,1,1,"On a wooden dining table, a pineapple awaits on a plate, though without a microwave.",['pineapple'],['microwave'],"In a bustling kitchen, a tasty pineapple is freshly baked.",A microwave is conspicuously absent.
27,0,1,"In a busy street, a large camera shines brightly, yet ",['camera'],[],"In a bright room, a camera is placed neatly.",
28,0,1,"In a cozy living room, a stool is on display, though ",['stool'],[],"In a sunlit bedroom, a stool is placed neatly.",
29,2,2,"In a sunny park, a bicycle sits beside a curious bird, yet with no a pan nor a hat.","['bicycle', 'bird']","['pan', 'hat']","In a grassy field, a bicycle sits next to a bird.",without a pan or a hat.
30,0,4,"On a grassy hill with soft music playing, you can see a large hat, a large paintbrush, a headphones, a clock, though ","['hat', 'paintbrush', 'headphones', 'clock']",[],"A large hat is on display on a grassy hill, with a new paintbrush, a headphones, a clock nearby.",
31,1,2,"At a train station, a sunglasses sits alongside a doctor, and yet no a phone.","['sunglasses', 'doctor']",['phone'],"On a sunny beach, a large sunglasses sits beside a doctor.",with no phone to be seen.
32,2,3,"A cake is freshly baked on a wooden dining table, with a bin, a tiger nearby, and yet surprisingly, there's no a kettle nor a candle.","['cake', 'bin', 'tiger']","['kettle', 'candle']","At a lively barbecue amidst a quiet afternoon, you can see a ripe cake, a bin, a lively tiger.",with no a kettle or a candle.
33,1,2,"On a grassy hill, a large toy sits next to a shiny mountain, and yet with no umbrella to be seen.","['toy', 'mountain']",['umbrella'],"On a grassy hill, a beautiful toy sits next to a simple mountain.",No an umbrella.
34,1,4,"In a sunny park, a sheep, a bench, a plush dining table, and a painting share the space, though no a headphones.","['sheep', 'bench', 'dining table', 'painting']",['headphones'],"On a soft rug in the living room, a sheep, a bench, a wooden dining table, and a colorful painting share the space.","You'd expect a headphones, but it's missing."
35,1,1,"In a rustic cabin, a modern lamp shines brightly, though you'd expect a backpack, but it's missing.",['lamp'],['backpack'],"In a quaint study, a cozy lamp shines brightly.",It's odd that there's no a backpack.
36,2,3,"In a quaint study under a clear blue sky, you can see an ottoman, a bucket, a bicycle, yet with no a laptop and no a chair.","['ottoman', 'bucket', 'bicycle']","['laptop', 'chair']","In a rustic cabin, an ottoman, a bucket, and a bicycle are on display.",with no a laptop nor a chair.
37,2,4,"A simple bowl is placed neatly in a cozy bakery, with a shiny phone, a camera, a ripe fish nearby, though surprisingly, there's no a fridge or a keys.","['bowl', 'phone', 'camera', 'fish']","['fridge', 'keys']","An old bowl is on display at a sunny picnic, with a phone, a large camera, a fish nearby.",with notable absence of a fridge and no a keys.
38,0,1,"At a lively barbecue, a sweet bread is being prepared, but ",['bread'],[],"On a wooden dining table, a fresh bread is being prepared.",
39,2,1,"At a serene lake, a shiny phone rests quietly, however with notable absence of a scarf and no a laptop.",['phone'],"['scarf', 'laptop']","In a bright room, a phone is placed neatly.","Surprisingly, there's no a scarf and no a laptop."
40,2,2,"At a serene lake, an intricate violin sits next to a large screwdriver, and yet it's odd that there's no a lamp and no a notebook.","['violin', 'screwdriver']","['lamp', 'notebook']","In a bright room, a violin sits near a screwdriver.",with no a lamp nor a notebook.
41,1,1,"In a busy street, a bright knife shines brightly, and yet you'd expect a bowl, but it's missing.",['knife'],['bowl'],"In a bright room, a knife is placed neatly.",A bowl is conspicuously absent.
42,0,3,"At a lively barbecue as the wind gently blows, you can see a stove, a crisp mango, a beautiful moon, while ","['stove', 'mango', 'moon']",[],"In a cozy bakery, a bright stove, a fresh mango, and a new moon share the space.",
43,2,2,"At a busy pet store, a bright dustpan sits alongside a sleek lion, though it's odd that there's no a pillow nor a scarf.","['dustpan', 'lion']","['pillow', 'scarf']","At a busy pet store, a colorful dustpan sits near a sleek lion.",without a pillow nor a scarf.
44,2,3,"On a grassy hill, a gloves, a beautiful television, and an oven are neatly arranged, however there's no sign of a book and no a blanket.","['gloves', 'television', 'oven']","['book', 'blanket']","Near a calm river, a bright gloves, a bright television, and an oven create a cozy setup.",There's no sign of a book or a blanket.
45,1,1,"In a bright room, a truck shines brightly, yet without a headphones.",['truck'],['headphones'],"At a serene lake, a small truck is on display.",with notable absence of a headphones.
46,2,2,"On a wooden dining table, an intricate window sits alongside a sweet soup, while surprisingly, there's no a book and no a mug.","['window', 'soup']","['book', 'mug']","At a lively barbecue, a window sits near a fresh soup.",without a book and no a mug.
47,2,1,"In a busy street, a blanket sits in the corner, and yet nowhere in the scene can you find a pencil and no a backpack.",['blanket'],"['pencil', 'backpack']","In a busy street, a blanket rests quietly.",with no a pencil and no a backpack.
48,0,2,"On a soft rug in the living room, a large keys sits alongside a majestic goat, however ","['keys', 'goat']",[],"At a busy pet store, an old keys sits near a fluffy goat.",
49,1,3,"A pancake is freshly baked at a sunny picnic, with a sun, a fish nearby, however it's odd that there's no a pen.","['pancake', 'sun', 'fish']",['pen'],"A juicy pancake is being prepared at a lively barbecue, with a small sun, a fish nearby.",with notable absence of a pen.
50,0,4,"Near a calm river, a new heater, a bicycle, a curtain, and a plate are on display, but ","['heater', 'bicycle', 'curtain', 'plate']",[],"A heater is on display in a bright room, with a bicycle, a colorful curtain, a plate nearby.",
51,0,2,"In a cozy living room, an old phone sits alongside a modern stool, yet ","['phone', 'stool']",[],"In a quaint study, a new phone sits near a stool.",
52,2,2,"In a rustic cabin, an intricate chisel sits near a cozy sofa, yet with notable absence of a stove or a pillow.","['chisel', 'sofa']","['stove', 'pillow']","In a quaint study, a new chisel sits beside a soft sofa.",Nowhere in the scene can you find a stove and no a pillow.
53,2,1,"In a busy street, a hat is placed neatly, however no a curtain nor a pillow.",['hat'],"['curtain', 'pillow']","On a grassy hill, a colorful hat is placed neatly.",with no a curtain and no a pillow.
54,1,4,"A blender sits in the corner on a wooden dining table, with a tiger, a delicious blueberry, a woman nearby, however it's odd that there's no a pillow.","['blender', 'tiger', 'blueberry', 'woman']",['pillow'],"On a wooden dining table with soft music playing, you can see a blender, a majestic tiger, a delicious blueberry, a woman.","Surprisingly, there's no a pillow."
55,0,1,"At a sunny picnic, a delicious cake sits ready to eat, yet ",['cake'],[],"On a wooden dining table, a warm cake is being prepared.",
56,0,2,"At a serene lake, a beautiful microwave sits near a star, and yet ","['microwave', 'star']",[],"On a grassy hill, a microwave sits next to a simple star.",
57,2,2,"In a grassy field, a curious bird sits next to an umbrella, and yet there's no sign of a spoon nor a pan.","['bird', 'umbrella']","['spoon', 'pan']","Near a quiet pond, a lively bird sits alongside a colorful umbrella.",There's no sign of a spoon nor a pan.
58,0,3,"A gentle bird plays happily near a quiet pond, with a shiny vase, a mop nearby, and yet ","['bird', 'vase', 'mop']",[],"A sleek bird rests quietly in a sunny park, with a bright vase, a bright mop nearby.",
59,2,2,"In a busy street, a tape measure sits next to a blanket, but with no a stove nor a microwave.","['tape measure', 'blanket']","['stove', 'microwave']","Near a calm river, a tape measure sits near a blanket.",with notable absence of a stove nor a microwave.
60,2,1,"At a serene lake, a scarf is placed neatly, though no a clock or a candle.",['scarf'],"['clock', 'candle']","Near a calm river, a scarf rests quietly.",with notable absence of a clock nor a candle.
61,2,4,"In a cozy living room with sunlight streaming in, you can see an intricate cutting board, a river, a wooden table, a soft dining table, but it's odd that there's no a tablet and no a kettle.","['cutting board', 'river', 'table', 'dining table']","['tablet', 'kettle']","A cutting board is on display in a cozy living room, with a shiny river, a table, a soft dining table nearby.",with no a tablet and no a kettle.
62,0,2,"At a lively barbecue, a helicopter sits next to a banana, though ","['helicopter', 'banana']",[],"At a lively barbecue, a helicopter sits near a banana.",
63,0,1,"At a serene lake, a sunglasses shines brightly, and yet ",['sunglasses'],[],"Near a calm river, a bright sunglasses shines brightly.",
64,2,2,"Near a calm river, a sunglasses sits near a tree, while there's no sign of a toaster nor a microwave.","['sunglasses', 'tree']","['toaster', 'microwave']","At a serene lake, a colorful sunglasses sits near a small tree.",No a toaster and no a microwave.
65,2,1,"At a lively barbecue, a savory pizza awaits on a plate, while without a cup nor a chair.",['pizza'],"['cup', 'chair']","At a lively barbecue, a pizza is being prepared.",No a cup or a chair.
66,0,4,"In a cozy bakery amidst a quiet afternoon, you can see a tape measure, an old scarf, an old truck, a fish, and yet ","['tape measure', 'scarf', 'truck', 'fish']",[],"In a cozy bakery, a large tape measure, a scarf, a truck, and a fish create a cozy setup.",
67,0,1,"Near a calm river, a bright tablet sits in the corner, and yet ",['tablet'],[],"On a grassy hill, a small tablet is on display.",
68,2,2,"Near a calm river, a shiny helicopter sits alongside a bus, though it's odd that there's no a pot and no a glass.","['helicopter', 'bus']","['pot', 'glass']","On a grassy hill, a new helicopter sits near a bus.",with notable absence of a pot or a glass.
69,1,1,"On a grassy hill, a beautiful car shines brightly, though with no knife to be seen.",['car'],['knife'],"Near a calm river, a large car shines brightly.",without a knife.
70,1,3,"In a bustling kitchen amidst a quiet afternoon, you can see a fresh salad, a shiny grass, a chocolate, while you'd expect a tablet, but it's missing.","['salad', 'grass', 'chocolate']",['tablet'],"At a sunny picnic as the wind gently blows, you can see a salad, a colorful grass, a chocolate.",There's no sign of a tablet.
71,0,4,"In a bustling kitchen, an elegant bench, a laptop, a soup, and a graceful horse share the space, and yet ","['bench', 'laptop', 'soup', 'horse']",[],"A modern bench sits in the corner in a cozy bakery, with a simple laptop, a homemade soup, a horse nearby.",
72,1,2,"In a modern office, a cozy armchair sits beside a vintage mirror, while without a fork.","['armchair', 'mirror']",['fork'],"In a cozy living room, an armchair sits next to a soft mirror.","You'd expect a fork, but it's missing."
73,0,4,"In a bustling kitchen, a watermelon, a small watch, a teenager, and a child create a cozy setup, yet ","['watermelon', 'watch', 'teenager', 'child']",[],"A watermelon is freshly baked at a lively barbecue, with a simple watch, a friendly teenager, an elderly child nearby.",
74,2,3,"In a cozy living room amidst a quiet afternoon, you can see a shiny blanket, a large sun, a soft dresser, though without a microwave nor a candle.","['blanket', 'sun', 'dresser']","['microwave', 'candle']","In a quaint study with sunlight streaming in, you can see a simple blanket, an intricate sun, a vintage dresser.",with notable absence of a microwave and no a candle.
75,1,2,"On a wooden dining table, a large pencil sits beside a tasty orange, and yet without a lamp.","['pencil', 'orange']",['lamp'],"In a cozy bakery, a beautiful pencil sits next to an orange.","Surprisingly, there's no a lamp."
76,0,4,"In a cozy bakery amidst a quiet afternoon, you can see a colorful cloud, a large colander, a crisp cookie, a dresser, and yet ","['cloud', 'colander', 'cookie', 'dresser']",[],"A beautiful cloud is placed neatly on a wooden dining table, with a colander, a cookie, an elegant dresser nearby.",
77,2,2,"On a wooden dining table, a pancake sits next to a small cloud, though it's odd that there's no a stove or a phone.","['pancake', 'cloud']","['stove', 'phone']","In a cozy bakery, a pancake sits next to a cloud.",No a stove and no a phone.
78,0,1,"Near a calm river, an intricate saw shines brightly, yet ",['saw'],[],"In a bright room, a saw shines brightly.",
79,0,2,"In a sunlit bedroom, a rustic dresser sits next to a focused child, and yet ","['dresser', 'child']",[],"In a cozy living room, a vintage dresser sits near a child.",
80,1,3,"A homemade pineapple is neatly arranged in a cozy bakery, with a lion, a wrench nearby, though with no plate to be seen.","['pineapple', 'lion', 'wrench']",['plate'],"On a wooden dining table, a juicy pineapple, a lion, and an intricate wrench are neatly arranged.",without a plate.
81,2,4,"A cloud sits in the corner at a sunny picnic, with a tasty cheese, a chicken, a sleek goose nearby, but no a vase and no a spoon.","['cloud', 'cheese', 'chicken', 'goose']","['vase', 'spoon']","On a wooden dining table, a shiny cloud, a cheese, a ripe chicken, and a furry goose share the space.",without a vase or a spoon.
82,2,1,"At a serene lake, a beautiful chisel is placed neatly, yet there's no sign of a towel nor a hat.",['chisel'],"['towel', 'hat']","In a bright room, a chisel is on display.",with no a towel or a hat.
83,2,3,"At a serene lake amidst a quiet afternoon, you can see a small grass, an air conditioner, a beautiful board game, and yet with no a phone nor a mirror.","['grass', 'air conditioner', 'board game']","['phone', 'mirror']","On a grassy hill, a small grass, a simple air conditioner, and a board game are neatly arranged.",There's no sign of a phone or a mirror.
84,0,2,"In a bright room, a doll sits beside a wrench, yet ","['doll', 'wrench']",[],"At a serene lake, a doll sits alongside a wrench.",
85,2,1,"At a serene lake, a grass sits in the corner, yet nowhere in the scene can you find a cup and no a notebook.",['grass'],"['cup', 'notebook']","In a bright room, a beautiful grass sits in the corner.","Surprisingly, there's no a cup and no a notebook."
86,1,2,"In a busy street, a bus sits alongside a mug, yet without a hat.","['bus', 'mug']",['hat'],"At a serene lake, a bus sits beside a mug.",without a hat.
87,2,1,"Near a calm river, a shiny curtain sits in the corner, and yet surprisingly, there's no a pillow nor a towel.",['curtain'],"['pillow', 'towel']","Near a calm river, a curtain is placed neatly.","Surprisingly, there's no a pillow and no a towel."
88,0,1,"In a busy street, a beautiful sun sits in the corner, but ",['sun'],[],"On a grassy hill, a sun rests quietly.",
89,2,3,"In a quaint study, an elegant rug, a beautiful spoon, and a small motorcycle are neatly arranged, though there's no sign of a colander or a spoon.","['rug', 'spoon', 'motorcycle']","['colander', 'spoon']","In a rustic cabin as the wind gently blows, you can see a rug, a simple spoon, a motorcycle.",without a colander nor a spoon.
90,2,3,"At a lively barbecue, a vacuum cleaner, a rug, and a savory pineapple create a cozy setup, but without a rug or a toaster.","['vacuum cleaner', 'rug', 'pineapple']","['rug', 'toaster']","In a cozy bakery as the wind gently blows, you can see a new vacuum cleaner, a rug, a pineapple.",There's no sign of a rug and no a toaster.
91,2,3,"An intricate door is on display at a serene lake, with a colorful pen, a river nearby, but no an umbrella and no a backpack.","['door', 'pen', 'river']","['umbrella', 'backpack']","Near a calm river as the wind gently blows, you can see a door, a pen, a simple river.",It's odd that there's no an umbrella or a backpack.
92,2,4,"At a sunny picnic as the wind gently blows, you can see a friendly elderly person, a shiny knife, a crisp mango, a blender, however without a book or a pencil.","['elderly person', 'knife', 'mango', 'blender']","['book', 'pencil']","In a cozy bakery, an elderly person, a beautiful knife, a tasty mango, and a bright blender create a cozy setup.","Surprisingly, there's no a book nor a pencil."
93,0,3,"On a grassy hill, a new phone, a small broom, and a colander share the space, while ","['phone', 'broom', 'colander']",[],"A phone is on display on a grassy hill, with a beautiful broom, an old colander nearby.",
94,0,3,"In a quaint study, a polished coffee table, a polished sofa, and an airplane are neatly arranged, though ","['coffee table', 'sofa', 'airplane']",[],"In a rustic cabin, a coffee table, a soft sofa, and an airplane share the space.",
95,0,3,"At a busy pet store, a shiny laptop, a large grass, and a fluffy tiger share the space, and yet ","['laptop', 'grass', 'tiger']",[],"A shiny laptop shines brightly near a quiet pond, with a grass, a fluffy tiger nearby.",
96,2,2,"In a quaint study, a modern chair sits beside a teenager, while with no a microwave and no a curtain.","['chair', 'teenager']","['microwave', 'curtain']","In a cozy living room, a wooden chair sits beside a teenager.","Surprisingly, there's no a microwave or a curtain."
97,1,1,"In a quaint study, a cabinet is on display, and yet nowhere in the scene can you find a fridge.",['cabinet'],['fridge'],"In a rustic cabin, a modern cabinet shines brightly.",It's odd that there's no a fridge.
98,1,4,"At a lively barbecue, a pot, a bright pan, a vacuum cleaner, and a lemon create a cozy setup, while without a curtain.","['pot', 'pan', 'vacuum cleaner', 'lemon']",['curtain'],"At a sunny picnic, a pot, a pan, a vacuum cleaner, and a lemon create a cozy setup.","Surprisingly, there's no a curtain."
99,0,3,"A hammer sits in the corner at a train station, with a puzzle, an elderly teenager nearby, while ","['hammer', 'puzzle', 'teenager']",[],"In a quiet library as the wind gently blows, you can see a hammer, an old puzzle, a busy teenager.",
100,1,3,"At a lively barbecue, a lively rabbit, an airplane, and a chicken are neatly arranged, but you'd expect a fork, but it's missing.","['rabbit', 'airplane', 'chicken']",['fork'],"On a wooden dining table, a rabbit, an airplane, and a chicken share the space.",with no a fork.
101,2,3,"A stove rests quietly on a soft rug in the living room, with a simple tape measure, a pig nearby, however no a curtain and no a mirror.","['stove', 'tape measure', 'pig']","['curtain', 'mirror']","At a busy pet store with soft music playing, you can see a stove, an old tape measure, a pig.",with no a curtain nor a mirror.
102,0,2,"In a sunny park, a window sits alongside a graceful pig, though ","['window', 'pig']",[],"At a busy pet store, a window sits near a pig.",
103,2,2,"At a sunny picnic, a new cloud sits alongside a juicy banana, though it's odd that there's no a gloves and no a whisk.","['cloud', 'banana']","['gloves', 'whisk']","In a cozy bakery, a cloud sits near a banana.",It's odd that there's no a gloves nor a whisk.
104,2,1,"In a busy street, a radio rests quietly, but without a whisk nor a clock.",['radio'],"['whisk', 'clock']","At a serene lake, a simple radio rests quietly.",with notable absence of a whisk and no a clock.
105,2,4,"On a wooden dining table, a sleek bear, a desk, a fish, and a cloud share the space, but with notable absence of a pen or a backpack.","['bear', 'desk', 'fish', 'cloud']","['pen', 'backpack']","At a sunny picnic, a bear, a polished desk, a fresh fish, and a cloud share the space.",There's no sign of a pen and no a backpack.
106,1,2,"In a rustic cabin, a large cloud sits next to a soft ottoman, though with no umbrella to be seen.","['cloud', 'ottoman']",['umbrella'],"In a rustic cabin, an intricate cloud sits alongside an elegant ottoman.","You'd expect a umbrella, but it's missing."
107,1,1,"Near a calm river, a beautiful vase sits in the corner, and yet surprisingly, there's no a fridge.",['vase'],['fridge'],"Near a calm river, a vase rests quietly.","You'd expect a fridge, but it's missing."
108,2,1,"In a bright room, a shiny oven is placed neatly, and yet no a headphones nor a cup.",['oven'],"['headphones', 'cup']","At a serene lake, a simple oven sits in the corner.",There's no sign of a headphones and no a cup.
109,0,3,"In a quaint study under a clear blue sky, you can see an intricate drum, a soft bed, a fork, but ","['drum', 'bed', 'fork']",[],"In a sunlit bedroom amidst a quiet afternoon, you can see a beautiful drum, a bed, a large fork.",
110,2,4,"A bookshelf is on display on a wooden dining table, with a warm sandwich, a simple level, a simple towel nearby, and yet surprisingly, there's no a whisk or a bowl.","['bookshelf', 'sandwich', 'level', 'towel']","['whisk', 'bowl']","A bookshelf is placed neatly at a sunny picnic, with a savory sandwich, a level, an intricate towel nearby.",with no a whisk nor a bowl.
111,2,1,"On a grassy hill, a bright window is placed neatly, while without a knife and no a backpack.",['window'],"['knife', 'backpack']","In a bright room, a beautiful window rests quietly.",Nowhere in the scene can you find a knife and no a backpack.
112,2,1,"On a grassy hill, a shiny radio shines brightly, while with notable absence of a toaster or a laptop.",['radio'],"['toaster', 'laptop']","At a serene lake, a radio shines brightly.","Surprisingly, there's no a toaster or a laptop."
113,1,2,"In a rustic cabin, a new vase sits near a wooden futon, but it's odd that there's no a curtain.","['vase', 'futon']",['curtain'],"In a sunlit bedroom, a vase sits beside a futon.",It's odd that there's no a curtain.
114,1,1,"On a sunny beach, a person sits thoughtfully, though with notable absence of a kettle.",['person'],['kettle'],"On a sunny beach, a young person relaxes quietly.",A kettle is conspicuously absent.
115,0,4,"On a wooden dining table, a large door, a river, a savory strawberry, and an old candle are on display, yet ","['door', 'river', 'strawberry', 'candle']",[],"At a lively barbecue, a door, a river, a strawberry, and a candle are on display.",
116,0,4,"In a grassy field, a hat, a microphone, a majestic bear, and a child share the space, yet ","['hat', 'microphone', 'bear', 'child']",[],"A hat is placed neatly in a sunny park, with an old microphone, a bear, a child nearby.",
117,1,1,"On a wooden dining table, a bread is freshly baked, yet no a book.",['bread'],['book'],"At a sunny picnic, a homemade bread is neatly arranged.",No a book.
118,1,4,"In a bustling kitchen, a small mountain, a large pot, a crisp lemon, and a homemade bacon are on display, and yet without a fork.","['mountain', 'pot', 'lemon', 'bacon']",['fork'],"At a lively barbecue, a new mountain, an old pot, a lemon, and a tasty bacon create a cozy setup.",It's odd that there's no a fork.
119,1,3,"In a cozy living room, a new broom, an intricate backpack, and a rustic ottoman are on display, yet no a backpack.","['broom', 'backpack', 'ottoman']",['backpack'],"A beautiful broom rests quietly in a rustic cabin, with a backpack, an ottoman nearby.",No a backpack.
120,2,2,"On a wooden dining table, a shiny car sits next to a tasty burger, but with no a blender or a cup.","['car', 'burger']","['blender', 'cup']","In a bustling kitchen, a simple car sits beside a burger.",with no a blender and no a cup.
121,0,4,"On a wooden dining table with soft music playing, you can see a tasty chocolate, an old bin, a nightstand, an adorable lion, yet ","['chocolate', 'bin', 'nightstand', 'lion']",[],"At a lively barbecue, a sweet chocolate, a bin, a rustic nightstand, and a lion create a cozy setup.",
122,0,4,"At a lively barbecue under a clear blue sky, you can see a new glass, a ripe chicken, a blender, a beautiful radio, however ","['glass', 'chicken', 'blender', 'radio']",[],"At a sunny picnic with soft music playing, you can see a glass, a ripe chicken, a blender, a new radio.",
123,0,4,"Near a quiet pond as the wind gently blows, you can see a bright scooter, a toy, a goat, a shiny notebook, though ","['scooter', 'toy', 'goat', 'notebook']",[],"Near a quiet pond with sunlight streaming in, you can see a scooter, a toy, a majestic goat, a simple notebook.",
124,2,1,"In a bright room, a small knife is on display, while with no a laptop nor a candle.",['knife'],"['laptop', 'candle']","Near a calm river, a knife is on display.",No a laptop and no a candle.
125,2,4,"In a cozy bakery as the wind gently blows, you can see a broom, an airplane, a sweet sandwich, a beautiful wallet, yet surprisingly, there's no a toaster nor a phone.","['broom', 'airplane', 'sandwich', 'wallet']","['toaster', 'phone']","A broom sits in the corner on a wooden dining table, with an airplane, a sandwich, a wallet nearby.",It's odd that there's no a toaster nor a phone.
126,1,1,"In a cozy bakery, an apple sits ready to eat, though it's odd that there's no a rug.",['apple'],['rug'],"In a bustling kitchen, an apple is neatly arranged.",with no a rug.
127,2,2,"At a lively barbecue, a duck sits beside a bacon, while no a toaster nor a lamp.","['duck', 'bacon']","['toaster', 'lamp']","In a bustling kitchen, a duck sits next to a savory bacon.",It's odd that there's no a toaster and no a lamp.
128,1,3,"An intricate piano rests quietly in a cozy bakery, with an old car, a cheese nearby, but without a mug.","['piano', 'car', 'cheese']",['mug'],"A new piano shines brightly at a lively barbecue, with a large car, a cheese nearby.",with no mug to be seen.
129,1,1,"At a sunny picnic, a juicy strawberry is freshly baked, and yet a tablet is conspicuously absent.",['strawberry'],['tablet'],"On a wooden dining table, a tasty strawberry sits ready to eat.",A tablet is conspicuously absent.
130,2,1,"Near a calm river, a colorful level is placed neatly, but there's no sign of a notebook nor a towel.",['level'],"['notebook', 'towel']","On a grassy hill, a small level is placed neatly.",There's no sign of a notebook nor a towel.
131,1,1,"On a grassy hill, a pot rests quietly, and yet with no pillow to be seen.",['pot'],['pillow'],"In a busy street, a pot is placed neatly.",with no a pillow.
